frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
0,0.0,2090,856,3067,762,1003,1601
1,0.03333333333333333,2090,856,3067,762,1003,1601
2,0.06666666666666667,2090,856,3067,762,1003,1601
3,0.1,2090,856,3067,762,1003,1601
4,0.13333333333333333,2090,856,3067,762,1003,1601
5,0.16666666666666666,2090,856,3067,762,1003,1601
6,0.2,2090,856,3067,762,1003,1601
7,0.23333333333333334,2090,856,3067,762,1003,1601
8,0.26666666666666666,2090,856,3067,762,1003,1601
9,0.3,2090,856,3067,762,1003,1601
10,0.3333333333333333,2090,856,3067,762,1003,1601
11,0.36666666666666664,2090,856,3067,762,1003,1601
12,0.4,2090,856,3067,762,1003,1601
13,0.43333333333333335,2090,856,3067,762,1003,1601
14,0.4666666666666667,2090,856,3067,762,1003,1601
15,0.5,2090,856,3067,762,1003,1601
16,0.5333333333333333,2090,856,3067,762,1003,1601
17,0.5666666666666667,2090,856,3067,762,1003,1601
18,0.6,2090,856,3067,762,1003,1601
19,0.6333333333333333,2090,856,3067,762,1003,1601
20,0.6666666666666666,2090,856,3067,762,1003,1601
21,0.7,2090,856,3067,762,1003,1601
22,0.7333333333333333,2090,856,3066,762,1003,1601
23,0.7666666666666667,2090,856,3066,762,1003,1601
24,0.8,2090,856,3067,762,1003,1601
25,0.8333333333333334,2090,856,3065,762,1003,1607
26,0.8666666666666667,2090,856,3062,762,1003,1608
27,0.9,2090,856,3062,762,1003,1608
28,0.9333333333333333,2090,856,3062,762,1003,1608
29,0.9666666666666667,2090,856,3062,762,1003,1610
30,1.0,2090,856,3062,762,1003,1610
31,1.0333333333333334,2090,856,3062,762,1003,1607
32,1.0666666666666667,2090,856,3062,762,1002,1604
33,1.1,2090,856,3060,762,1002,1604
34,1.1333333333333333,2090,856,3055,762,1002,1604
35,1.1666666666666667,2090,856,3045,766,1001,1603
36,1.2,2090,856,3030,772,1001,1603
37,1.2333333333333334,2090,856,3012,783,1001,1603
38,1.2666666666666666,2090,856,2981,798,999,1603
39,1.3,2090,856,2948,817,999,1603
40,1.3333333333333333,2090,856,2915,839,999,1603
41,1.3666666666666667,2090,856,2880,865,999,1603
42,1.4,2090,856,2847,892,999,1603
43,1.4333333333333333,2090,856,2812,918,999,1603
44,1.4666666666666666,2090,856,2783,941,999,1603
45,1.5,2090,856,2757,962,999,1603
46,1.5333333333333334,2090,856,2730,980,999,1603
47,1.5666666666666667,2090,856,2705,994,999,1603
48,1.6,2090,856,2690,1008,999,1603
49,1.6333333333333333,2090,856,2669,1015,999,1603
50,1.6666666666666667,2090,856,2651,1020,1001,1603
51,1.7,2090,856,2632,1025,1002,1603
52,1.7333333333333334,2094,856,2613,1030,1002,1603
53,1.7666666666666666,2095,856,2600,1031,1002,1603
54,1.8,2096,856,2589,1035,1002,1603
55,1.8333333333333333,2096,856,2573,1036,1002,1603
56,1.8666666666666667,2096,856,2560,1039,1002,1603
57,1.9,2094,856,2544,1044,1002,1603
58,1.9333333333333333,2093,856,2530,1051,1002,1603
59,1.9666666666666666,2092,856,2515,1058,1002,1603
60,2.0,2092,856,2501,1067,1002,1603
61,2.033333333333333,2091,856,2492,1073,1001,1603
62,2.066666666666667,2091,856,2480,1078,1001,1603
63,2.1,2091,856,2479,1087,1001,1603
64,2.1333333333333333,2091,856,2477,1096,1001,1603
65,2.1666666666666665,2091,857,2477,1107,1001,1603
66,2.2,2090,857,2476,1119,1001,1603
67,2.2333333333333334,2090,864,2471,1122,1001,1603
68,2.2666666666666666,2089,885,2455,1112,1001,1603
69,2.3,2089,925,2424,1089,1001,1603
70,2.3333333333333335,2088,973,2377,1062,1001,1603
71,2.3666666666666667,2089,1021,2318,1041,1001,1603
72,2.4,2096,1072,2253,1025,1002,1603
73,2.433333333333333,2104,1119,2190,1012,1002,1603
74,2.466666666666667,2107,1161,2134,998,1002,1603
75,2.5,2107,1199,2088,985,1002,1603
76,2.533333333333333,2107,1225,2049,975,1002,1603
77,2.566666666666667,2107,1247,2020,966,1002,1603
78,2.6,2107,1272,2001,954,1002,1603
79,2.6333333333333333,2107,1293,1975,945,1002,1603
80,2.6666666666666665,2107,1319,1943,934,1002,1603
81,2.7,2107,1348,1910,922,1002,1603
82,2.7333333333333334,2105,1375,1872,912,1002,1603
83,2.7666666666666666,2104,1404,1829,901,1002,1603
84,2.8,2099,1431,1791,892,1002,1603
85,2.8333333333333335,2093,1451,1760,886,1002,1603
