frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
0,0.0,2028,1745,2773,2247,864,1601
1,0.03333333333333333,2028,1745,2773,2247,864,1601
2,0.06666666666666667,2028,1745,2773,2247,864,1601
3,0.1,2028,1745,2773,2247,864,1601
4,0.13333333333333333,2028,1745,2773,2247,864,1601
5,0.16666666666666666,2028,1745,2773,2247,864,1601
6,0.2,2028,1745,2773,2247,864,1601
7,0.23333333333333334,2028,1745,2773,2247,864,1601
8,0.26666666666666666,2028,1745,2773,2247,864,1601
9,0.3,2028,1745,2773,2247,864,1601
10,0.3333333333333333,2028,1745,2773,2247,864,1601
11,0.36666666666666664,2028,1745,2773,2247,864,1601
12,0.4,2028,1745,2773,2247,864,1601
13,0.43333333333333335,2028,1745,2773,2247,864,1601
14,0.4666666666666667,2028,1745,2773,2247,864,1601
15,0.5,2028,1745,2773,2247,864,1601
16,0.5333333333333333,2028,1745,2773,2247,864,1601
17,0.5666666666666667,2028,1745,2773,2247,864,1601
18,0.6,2028,1745,2773,2247,864,1601
19,0.6333333333333333,2028,1745,2772,2247,864,1601
20,0.6666666666666666,2028,1745,2772,2247,864,1601
21,0.7,2028,1745,2772,2247,864,1601
22,0.7333333333333333,2028,1745,2772,2247,864,1601
23,0.7666666666666667,2028,1745,2772,2248,864,1601
24,0.8,2028,1745,2772,2248,864,1601
25,0.8333333333333334,2028,1745,2772,2248,864,1601
26,0.8666666666666667,2028,1745,2772,2248,864,1601
27,0.9,2028,1745,2772,2248,864,1601
28,0.9333333333333333,2028,1745,2772,2248,864,1601
29,0.9666666666666667,2028,1745,2772,2248,864,1601
30,1.0,2028,1745,2772,2248,864,1601
31,1.0333333333333334,2028,1745,2771,2250,864,1601
32,1.0666666666666667,2028,1745,2769,2251,864,1601
33,1.1,2028,1745,2769,2251,864,1601
34,1.1333333333333333,2028,1745,2769,2251,864,1601
35,1.1666666666666667,2028,1745,2769,2251,864,1601
36,1.2,2028,1745,2769,2251,864,1601
37,1.2333333333333334,2028,1745,2769,2252,864,1601
38,1.2666666666666666,2028,1745,2769,2252,864,1601
39,1.3,2028,1745,2769,2254,865,1601
40,1.3333333333333333,2028,1745,2769,2255,865,1601
41,1.3666666666666667,2028,1745,2768,2255,865,1601
42,1.4,2028,1745,2767,2259,866,1601
43,1.4333333333333333,2028,1745,2763,2270,870,1601
44,1.4666666666666666,2028,1745,2756,2289,878,1601
45,1.5,2029,1745,2751,2305,882,1601
46,1.5333333333333334,2029,1741,2750,2314,884,1601
47,1.5666666666666667,2029,1737,2747,2322,885,1601
48,1.6,2030,1732,2745,2329,885,1601
49,1.6333333333333333,2030,1728,2741,2338,885,1601
50,1.6666666666666667,2030,1723,2739,2350,885,1601
51,1.7,2031,1717,2735,2361,885,1601
52,1.7333333333333334,2031,1711,2734,2372,885,1601
53,1.7666666666666666,2031,1704,2731,2383,885,1601
54,1.8,2031,1697,2731,2393,885,1601
55,1.8333333333333333,2031,1689,2730,2402,885,1601
56,1.8666666666666667,2032,1680,2730,2412,886,1601
57,1.9,2032,1669,2729,2426,886,1601
58,1.9333333333333333,2032,1659,2726,2442,886,1601
59,1.9666666666666666,2032,1649,2724,2457,886,1601
60,2.0,2032,1638,2723,2472,887,1601
61,2.033333333333333,2032,1626,2721,2488,887,1601
62,2.066666666666667,2032,1615,2719,2504,889,1601
63,2.1,2032,1602,2717,2524,889,1601
64,2.1333333333333333,2032,1588,2713,2543,890,1601
65,2.1666666666666665,2032,1575,2710,2562,890,1601
66,2.2,2032,1562,2708,2575,890,1601
67,2.2333333333333334,2034,1552,2707,2589,890,1601
68,2.2666666666666666,2036,1544,2704,2600,890,1601
69,2.3,2037,1533,2704,2608,890,1601
70,2.3333333333333335,2039,1523,2704,2616,890,1601
71,2.3666666666666667,2041,1513,2704,2624,890,1601
72,2.4,2043,1502,2704,2632,890,1601
73,2.433333333333333,2044,1491,2704,2643,891,1601
74,2.466666666666667,2045,1479,2704,2651,891,1601
75,2.5,2046,1470,2704,2661,891,1601
76,2.533333333333333,2048,1461,2703,2670,891,1601
77,2.566666666666667,2049,1452,2699,2680,891,1601
78,2.6,2050,1441,2698,2689,891,1601
79,2.6333333333333333,2052,1428,2697,2698,891,1601
80,2.6666666666666665,2053,1414,2694,2706,890,1601
81,2.7,2056,1399,2693,2716,890,1601
82,2.7333333333333334,2057,1384,2692,2723,890,1601
83,2.7666666666666666,2059,1368,2688,2731,890,1601
84,2.8,2061,1356,2682,2738,890,1601
85,2.8333333333333335,2061,1344,2674,2747,890,1601
86,2.8666666666666667,2062,1331,2666,2753,887,1601
87,2.9,2064,1321,2653,2761,885,1601
88,2.933333333333333,2068,1312,2640,2770,884,1601
89,2.966666666666667,2069,1305,2630,2774,880,1601
90,3.0,2073,1299,2618,2779,876,1601
91,3.033333333333333,2074,1294,2608,2781,876,1601
92,3.066666666666667,2074,1287,2599,2781,873,1601
93,3.1,2074,1280,2589,2781,870,1601
94,3.1333333333333333,2074,1274,2581,2781,870,1601
95,3.1666666666666665,2074,1270,2570,2781,869,1601
96,3.2,2074,1262,2562,2782,869,1601
97,3.2333333333333334,2075,1252,2559,2777,869,1601
98,3.2666666666666666,2077,1243,2554,2775,864,1601
99,3.3,2079,1237,2546,2775,864,1601
100,3.3333333333333335,2079,1226,2544,2773,864,1601
101,3.3666666666666667,2079,1210,2544,2764,859,1601
102,3.4,2079,1196,2544,2758,853,1601
103,3.433333333333333,2079,1184,2541,2754,847,1601
104,3.466666666666667,2079,1173,2541,2749,843,1601
105,3.5,2079,1163,2541,2745,843,1601
106,3.533333333333333,2079,1157,2535,2747,843,1601
107,3.566666666666667,2079,1153,2528,2753,843,1601
108,3.6,2079,1150,2520,2759,843,1601
109,3.6333333333333333,2079,1150,2511,2771,846,1601
110,3.6666666666666665,2079,1152,2498,2790,852,1601
111,3.7,2080,1152,2485,2808,858,1601
112,3.7333333333333334,2084,1152,2471,2829,862,1601
113,3.7666666666666666,2089,1152,2456,2848,864,1601
114,3.8,2093,1151,2444,2865,864,1601
115,3.8333333333333335,2094,1145,2431,2876,864,1601
116,3.8666666666666667,2094,1136,2423,2881,864,1601
117,3.9,2094,1126,2418,2881,864,1601
118,3.933333333333333,2094,1116,2413,2876,864,1601
119,3.966666666666667,2094,1106,2410,2868,863,1601
120,4.0,2094,1098,2405,2862,857,1601
121,4.033333333333333,2094,1090,2404,2852,849,1601
122,4.066666666666666,2094,1082,2402,2835,837,1601
123,4.1,2093,1076,2402,2819,826,1601
124,4.133333333333334,2092,1072,2401,2807,819,1601
125,4.166666666666667,2089,1068,2399,2796,816,1601
126,4.2,2085,1062,2399,2790,816,1601
127,4.233333333333333,2080,1057,2399,2781,816,1601
128,4.266666666666667,2077,1055,2399,2768,816,1601
129,4.3,2077,1054,2399,2749,815,1601
130,4.333333333333333,2074,1053,2399,2728,810,1601
131,4.366666666666666,2070,1051,2402,2707,807,1601
132,4.4,2066,1046,2410,2682,805,1601
133,4.433333333333334,2061,1041,2418,2656,800,1601
134,4.466666666666667,2057,1035,2428,2632,794,1601
135,4.5,2056,1028,2439,2603,784,1601
136,4.533333333333333,2053,1023,2447,2578,779,1601
137,4.566666666666666,2051,1021,2450,2557,775,1601
138,4.6,2048,1020,2455,2538,772,1601
139,4.633333333333334,2044,1018,2455,2525,769,1601
140,4.666666666666667,2039,1014,2461,2504,768,1601
141,4.7,2036,1010,2469,2480,768,1601
142,4.733333333333333,2035,1005,2477,2455,766,1601
143,4.766666666666667,2034,999,2487,2428,761,1601
144,4.8,2033,995,2495,2404,757,1601
145,4.833333333333333,2031,990,2508,2378,757,1601
146,4.866666666666666,2031,985,2523,2348,757,1601
147,4.9,2030,977,2541,2318,757,1601
148,4.933333333333334,2028,970,2557,2291,757,1601
149,4.966666666666667,2026,963,2573,2264,757,1601
150,5.0,2025,955,2592,2230,757,1601
151,5.033333333333333,2024,947,2613,2196,757,1601
152,5.066666666666666,2023,940,2627,2167,757,1601
153,5.1,2021,934,2645,2132,757,1601
154,5.133333333333334,2018,928,2656,2102,757,1601
155,5.166666666666667,2014,924,2667,2075,757,1601
156,5.2,2010,922,2677,2046,757,1601
157,5.233333333333333,2006,920,2685,2018,757,1601
158,5.266666666666667,2001,920,2688,1996,756,1601
159,5.3,1996,920,2696,1966,756,1601
160,5.333333333333333,1991,919,2703,1935,756,1601
161,5.366666666666666,1987,917,2710,1907,756,1601
162,5.4,1980,914,2719,1877,756,1601
163,5.433333333333334,1975,911,2726,1849,756,1601
164,5.466666666666667,1971,906,2731,1833,756,1601
165,5.5,1968,901,2740,1810,756,1601
166,5.533333333333333,1965,897,2751,1780,756,1601
167,5.566666666666666,1960,891,2765,1749,757,1601
168,5.6,1956,883,2778,1721,757,1601
169,5.633333333333334,1954,875,2794,1689,757,1601
170,5.666666666666667,1953,867,2810,1654,757,1601
171,5.7,1950,859,2825,1623,757,1601
172,5.733333333333333,1950,857,2841,1583,761,1601
173,5.766666666666667,1950,857,2853,1545,762,1601
174,5.8,1950,857,2863,1518,762,1601
175,5.833333333333333,1950,857,2869,1497,762,1601
176,5.866666666666666,1950,857,2875,1476,762,1601
177,5.9,1950,857,2880,1457,762,1601
